FID,id,knoopid,volgnr,nodeid,geoid,netwerkid,netwerk,nettype,beschr,startdate,stopdate,geom,codetype
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d3c,123006930,6930,18,6901,27770169,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7601294933464806 50.797300134721155),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d3b,123006931,6931,12,6902,27770643,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7647320176674066 50.7961709599453),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d3a,123006932,6932,28,6903,27770286,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.765987480739988 50.794761439495616),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d39,123006933,6933,29,6905,27770632,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.766972688259252 50.79404675319392),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d38,123006934,6934,13,6904,27770633,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.770911429556659 50.79501702863407),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d37,123005722,5722,37,5679,27769953,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7585359559427642 50.78453297921346),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d36,123005723,5723,40,5681,27770774,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7551726857657135 50.78190582921628),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d35,123005724,5724,41,5682,27770742,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.75553848672026 50.779908354627736),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d34,123006935,6935,10,6906,27769388,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7574923852895563 50.79339702564436),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d33,123005725,5725,62,5683,27770323,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.758208297446825 50.77327493886955),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d32,123006936,6936,11,6907,27769536,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7595107731558963 50.79164590008964),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d31,123006937,6937,26,6908,27770622,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7619901878749284 50.79040143666415),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d30,123006938,6938,27,6909,27770508,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7644660276387083 50.790458690344074),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d2f,123006939,6939,31,6910,27769769,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7642796536387357 50.788257277115754),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d2e,123006940,6940,32,6911,27770312,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.763745044185757 50.78769336638505),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d2d,123005732,5732,52,5692,27769515,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.781883766633591 50.796025410536636),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d2c,123005733,5733,48,5693,27770626,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7754024926456164 50.78999148402051),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d2b,123005735,5735,71,5695,27769672,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7723660124156146 50.79481838044089),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d2a,123005736,5736,70,5696,27770094,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7810706259504485 50.7967885662576),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d29,123006941,6941,34,6912,27770596,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7621179305844503 50.78655077007347),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d28,123006942,6942,47,6913,27770368,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.763484264900674 50.78614204841174),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d27,123006943,6943,22,6914,27770173,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7558449095239026 50.791700932284584),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d26,123006951,6951,36,6922,27770497,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7587817668415258 50.784834527899164),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d25,123006950,6950,39,6921,27770218,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7533511436631524 50.784335989710826),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d24,123006949,6949,38,6920,27770465,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7573772525948286 50.78511050034331),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d23,123006948,6948,35,6919,27769783,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.75914867866743 50.78561118792585),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d22,123006947,6947,33,6918,27769784,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.760992326214286 50.787861035211215),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d21,123006945,6945,21,6916,27769333,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.753108042625827 50.789660871156975),NETWERK
