FID,id,knoopid,volgnr,nodeid,geoid,netwerkid,netwerk,nettype,beschr,startdate,stopdate,geom,codetype
knoop_full_export.fid--16c1f25b_14b3a583521_278f,230007332,7332,57,7314,29033722,230,Wandelnetwerk Hoppeland,WANDEL,Wandelen,2013-05-16T00:00:00,2013-05-16T00:00:00,POINT (2.66830768967427 50.83147723443801),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2790,230007393,7393,58,7375,29034823,230,Wandelnetwerk Hoppeland,WANDEL,Wandelen,2013-05-16T00:00:00,2013-05-16T00:00:00,POINT (2.673190028050094 50.826746561243894),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2791,230007295,7295,80,7275,29034887,230,Wandelnetwerk Hoppeland,WANDEL,Wandelen,2013-05-16T00:00:00,2013-05-16T00:00:00,POINT (2.608457329354669 50.852766656263185),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2792,230007293,7293,96,7273,29033356,230,Wandelnetwerk Hoppeland,WANDEL,Wandelen,2013-05-16T00:00:00,2013-05-16T00:00:00,POINT (2.6206112543568345 50.861228115005034),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2793,230007294,7294,81,7274,29033858,230,Wandelnetwerk Hoppeland,WANDEL,Wandelen,2013-05-16T00:00:00,2013-05-16T00:00:00,POINT (2.6199639621309605 50.8588452726186),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2794,230007296,7296,82,7279,29034888,230,Wandelnetwerk Hoppeland,WANDEL,Wandelen,2013-05-16T00:00:00,2013-05-16T00:00:00,POINT (2.6318966460804183 50.855791311059136),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2795,230007303,7303,73,7280,29034889,230,Wandelnetwerk Hoppeland,WANDEL,Wandelen,2013-05-16T00:00:00,2013-05-16T00:00:00,POINT (2.6466191132782995 50.85642635624787),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2796,230007302,7302,78,7281,29034822,230,Wandelnetwerk Hoppeland,WANDEL,Wandelen,2013-05-16T00:00:00,2013-05-16T00:00:00,POINT (2.6525753691239613 50.85911621920111),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2797,230007292,7292,83,7272,29033404,230,Wandelnetwerk Hoppeland,WANDEL,Wandelen,2013-05-16T00:00:00,2013-05-16T00:00:00,POINT (2.652302669183087 50.86864434537235),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2798,125007426,7426,52,7409,29033315,125,Fietsnetwerk Brugse Ommeland,FIETS,Fietsen,,,POINT (2.8595373191611055 51.20754114604389),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_2799,125006103,6103,32,6076,29033699,125,Fietsnetwerk Brugse Ommeland,FIETS,Fietsen,,,POINT (3.01453207406595 51.06998472248271),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_279a,127006103,6103,32,6076,29033699,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (3.01453207406595 51.06998472248271),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_279b,125006012,6012,31,5984,29033525,125,Fietsnetwerk Brugse Ommeland,FIETS,Fietsen,,,POINT (3.000906029868788 51.08300276035986),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_279c,127006012,6012,31,5984,29033525,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (3.000906029868788 51.08300276035986),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_279d,125006340,6340,52,6313,29033887,125,Fietsnetwerk Brugse Ommeland,FIETS,Fietsen,,,POINT (3.3633992721631434 50.97684460397183),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_279e,126006340,6340,52,6313,29033887,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (3.3633992721631434 50.97684460397183),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_279f,125006339,6339,51,6312,29033765,125,Fietsnetwerk Brugse Ommeland,FIETS,Fietsen,,,POINT (3.3676427273589784 50.9783819244883),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27a0,126006339,6339,51,6312,29033765,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (3.3676427273589784 50.9783819244883),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27a1,125006338,6338,50,6311,29034994,125,Fietsnetwerk Brugse Ommeland,FIETS,Fietsen,,,POINT (3.388301299360856 50.981639314357516),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27a2,219006338,6338,50,6311,29034994,219,FNW Zeeuws VL_OVL,FIETS,Fietsen,,,POINT (3.388301299360856 50.981639314357516),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27a3,126006338,6338,50,6311,29034994,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (3.388301299360856 50.981639314357516),NETWERK
