FID,code,id,oldnr,newnr,oldstatus,newstatus,change,ok
230,HF,6225,14,-1,DEL,DEL,1,1
231,HG,6226,80,80,FIX,FIX,0,1
232,HW,6243,25,25,FIX,FIX,0,1
233,HX,6244,-24,22,FIX,FIX,1,1
234,HV,6242,26,26,FIX,FIX,0,1
235,HU,6241,27,27,FIX,FIX,0,1
236,HT,6240,-28,97,FIX,FIX,1,1
237,HS,6239,29,29,FIX,FIX,0,1
238,HR,6238,14,14,FIX,FIX,0,1
239,HQ,6237,13,13,FIX,FIX,0,1
240,HP,6236,12,12,FIX,FIX,0,1
241,HO,6234,10,10,FIX,FIX,0,1
242,HY,6245,15,15,FIX,FIX,0,1
243,HZ,6246,72,72,FIX,FIX,0,1
244,H0,6247,73,73,FIX,FIX,0,1
245,H1,6248,19,19,FIX,FIX,0,1
246,H2,6249,18,18,FIX,FIX,0,1
247,H3,6250,17,17,FIX,FIX,0,1
248,H4,6251,33,33,FIX,FIX,0,1
249,H5,6252,32,32,FIX,FIX,0,1
250,IA,6257,16,16,FIX,FIX,0,1
251,H6,6253,31,31,FIX,FIX,0,1
252,H7,6254,-30,94,FIX,FIX,1,1
253,H8,6255,44,44,FIX,FIX,0,1
254,H9,6256,43,43,FIX,FIX,0,1
255,IB,6259,-2,88,FIX,FIX,1,1
256,IF,6263,48,48,FIX,FIX,0,1
257,IE,6262,49,49,FIX,FIX,0,1
258,ID,6261,75,75,FIX,FIX,0,1
259,IC,6260,74,74,FIX,FIX,0,1
260,IG,6264,47,47,FIX,FIX,0,1
261,IH,6265,23,23,FIX,FIX,0,1
262,II,6266,46,46,FIX,FIX,0,1
263,IJ,6267,-34,93,FIX,FIX,1,1
264,IK,6268,35,35,FIX,FIX,0,1
265,IL,6269,38,38,FIX,FIX,0,1
266,IN,6271,4,4,FIX,FIX,0,1
267,IM,6270,3,3,FIX,FIX,0,1
268,I3,6287,-9,78,FIX,FIX,1,1
269,I4,6288,25,25,FIX,FIX,0,1
270,I5,6289,53,53,FIX,FIX,0,1
271,I6,6290,52,52,FIX,FIX,0,1
272,I8,6292,12,12,FIX,FIX,0,1
273,I7,6291,22,22,FIX,FIX,0,1
274,I9,6293,40,40,FIX,FIX,0,1
275,JA,6294,41,41,FIX,FIX,0,1
276,JB,6295,42,42,FIX,FIX,0,1
277,JC,6296,53,53,FIX,FIX,0,1
278,JD,6297,75,75,FIX,FIX,0,1
279,JE,6298,76,76,FIX,FIX,0,1
280,JF,6299,55,55,FIX,FIX,0,1
281,JG,6300,59,59,FIX,FIX,0,1
282,JH,6301,60,60,FIX,FIX,0,1
283,JI,6302,61,61,FIX,FIX,0,1
284,JJ,6303,62,62,FIX,FIX,0,1
285,JK,6304,77,77,FIX,FIX,0,1
286,JL,6305,54,54,FIX,FIX,0,1
287,JM,6306,5,5,FIX,FIX,0,1
288,JN,6307,22,28,IN,FIX,1,1
289,JO,6308,58,58,FIX,FIX,0,1
290,JP,6309,-56,30,FIX,FIX,1,1
291,JQ,6310,24,24,FIX,FIX,0,1
292,JR,6311,-57,34,FIX,FIX,1,1
293,JS,6312,51,51,FIX,FIX,0,1
294,JT,6313,-50,96,FIX,FIX,1,1
295,JU,6314,21,21,FIX,FIX,0,1
296,JV,6315,56,56,FIX,FIX,0,1
297,JW,6316,63,63,FIX,FIX,0,1
298,JX,6317,1,60,IN,FIX,1,1
299,JY,6318,53,53,FIX,FIX,0,1
300,JZ,6319,54,54,FIX,FIX,0,1
301,J0,6320,55,55,FIX,FIX,0,1
302,J1,6321,19,19,FIX,FIX,0,1
303,J2,6322,-20,45,FIX,FIX,1,1
304,J3,6323,-60,92,FIX,FIX,1,1
305,KB,6331,61,61,FIX,FIX,0,1
306,J4,6324,-17,9,FIX,FIX,1,1
307,J5,6325,15,15,FIX,FIX,0,1
308,J6,6326,-16,99,FIX,FIX,1,1
309,J7,6327,47,47,FIX,FIX,0,1
310,J8,6328,49,13,IN,FIX,1,1
311,J9,6329,10,10,FIX,FIX,0,1
312,KA,6330,62,68,IN,FIX,1,1
313,KC,6332,46,46,IN,FIX,0,1
314,KD,6333,47,48,IN,FIX,1,1
315,KE,6334,45,45,IN,FIX,0,1
316,KF,6335,38,64,IN,FIX,1,1
317,KL,6341,11,11,IN,FIX,0,1
318,KM,6342,12,61,IN,FIX,1,1
319,KP,6346,45,-1,DEL,DEL,1,1
320,KR,6348,37,-1,DEL,DEL,1,1
321,KT,6351,1,1,EXT,EXT,0,1
322,KU,6352,76,76,IN,FIX,0,1
323,KV,6353,40,40,IN,FIX,0,1
324,KW,6354,66,66,IN,FIX,0,1
325,KX,6355,78,94,IN,FIX,1,1
326,KY,6356,39,39,IN,FIX,0,1
327,KZ,6357,38,69,IN,FIX,1,1
328,K0,6358,26,26,IN,FIX,0,1
329,K1,6359,25,78,IN,FIX,1,1
330,K2,6360,24,24,IN,FIX,0,1
331,K3,6361,13,73,IN,FIX,1,1
332,K4,6362,18,77,IN,FIX,1,1
333,K5,6363,19,74,IN,FIX,1,1
334,K6,6364,22,-1,DEL,DEL,1,1
335,LB,6370,4,4,IN,FIX,0,1
336,LC,6371,10,63,IN,FIX,1,1
337,LE,6373,45,45,IN,FIX,0,1
338,LF,6374,46,96,IN,FIX,1,1
339,LG,6375,47,88,IN,FIX,1,1
340,LJ,6379,12,12,IN,FIX,0,1
341,LK,6380,15,20,IN,FIX,1,1
342,LL,6381,41,95,IN,FIX,1,1
343,LM,6382,43,98,IN,FIX,1,1
344,LN,6383,44,44,IN,FIX,0,1
345,LO,6384,13,21,IN,FIX,1,1
346,LP,6385,21,-1,DEL,DEL,1,1
347,LQ,6386,26,5,IN,FIX,1,1
348,LR,6387,25,25,IN,FIX,0,1
349,LS,6388,20,68,IN,FIX,1,1
350,LT,6389,27,-1,DEL,DEL,1,1
351,LU,6390,14,14,IN,FIX,0,1
352,LV,6391,17,17,IN,FIX,0,1
353,LW,6392,32,13,IN,FIX,1,1
354,LX,6393,15,15,IN,FIX,0,1
355,LY,6394,16,-1,DEL,DEL,1,1
356,L0,6396,40,23,IN,FIX,1,1
357,L1,6397,39,39,IN,FIX,0,1
358,L2,6398,41,29,IN,FIX,1,1
359,LZ,6395,53,59,IN,FIX,1,1
360,L3,6399,35,35,IN,FIX,0,1
361,L4,6400,43,26,IN,FIX,1,1
362,L5,6401,34,34,IN,FIX,0,1
363,L6,6402,33,33,IN,FIX,0,1
364,L7,6403,14,14,IN,FIX,0,1
365,L8,6404,9,3,IN,FIX,1,1
366,L9,6405,7,76,IN,FIX,1,1
367,MA,6406,79,70,IN,FIX,1,1
368,MB,6407,51,71,IN,FIX,1,1
369,ME,6410,6,22,IN,FIX,1,1
370,MC,6408,8,8,IN,FIX,0,1
371,MG,6413,54,54,IN,FIX,0,1
372,MH,6414,55,60,IN,FIX,1,1
