XCoord;YCoord;knoopid;NETWERKID;NETWERK;code;STATUS;lon_x;lat_y
357498,48423356;6635820,80619972;6049;24;125;Fietsnetwerk Brugse Ommeland;CN;OUT;3,211464;51,269895
353709,53822385;6632780,52980163;6050;40;125;Fietsnetwerk Brugse Ommeland;CO;OUT;3,177427;51,252760
361461,64847026;6632672,35143953;6051;12;125;Fietsnetwerk Brugse Ommeland;CP;OUT;3,247065;51,252150
363223,31728949;6630158,82663214;6052;10;125;Fietsnetwerk Brugse Ommeland;CQ;OUT;3,262891;51,237978
366437,18904300;6635403,12013124;6054;25;125;Fietsnetwerk Brugse Ommeland;CS;OUT;3,291761;51,267542
365129,37336378;6632718,07102729;6053;13;125;Fietsnetwerk Brugse Ommeland;CR;OUT;3,280013;51,252408
365748,76384041;6636355,13390830;6055;21;125;Fietsnetwerk Brugse Ommeland;CT;OUT;3,285577;51,272906
364277,60157375;6634444,80605320;6056;23;125;Fietsnetwerk Brugse Ommeland;CU;OUT;3,272361;51,262141
361667,17470203;6633064,65685699;6057;11;125;Fietsnetwerk Brugse Ommeland;CV;OUT;3,248912;51,254361
364226,98064525;6638275,09944810;6059;41;125;Fietsnetwerk Brugse Ommeland;CX;OUT;3,271907;51,283724
365236,44109634;6637097,54934186;6058;22;125;Fietsnetwerk Brugse Ommeland;CW;OUT;3,280975;51,277090
369695,37574797;6633487,33536942;6061;59;125;Fietsnetwerk Brugse Ommeland;CZ;OUT;3,321030;51,256744
371667,04957464;6632434,21956221;6062;63;125;Fietsnetwerk Brugse Ommeland;C0;OUT;3,338742;51,250808
371758,82466256;6632380,55252426;6063;58;125;Fietsnetwerk Brugse Ommeland;C1;OUT;3,339566;51,250505
366938,61735791;6634950,20101978;6060;16;125;Fietsnetwerk Brugse Ommeland;CY;OUT;3,296266;51,264989
367071,35797979;6635323,31895128;6064;17;125;Fietsnetwerk Brugse Ommeland;C2;OUT;3,297458;51,267092
365855,88399696;6636538,67918169;6065;20;125;Fietsnetwerk Brugse Ommeland;C3;OUT;3,286539;51,273941
374019,71920377;6641271,40602202;6066;57;125;Fietsnetwerk Brugse Ommeland;C4;OUT;3,359876;51,300600
373844,47474356;6641531,09215461;6067;54;125;Fietsnetwerk Brugse Ommeland;C5;OUT;3,358302;51,302063
371447,25368022;6639671,23282676;6068;55;125;Fietsnetwerk Brugse Ommeland;C6;OUT;3,336767;51,291588
371129,02372730;6639451,59114217;6069;56;125;Fietsnetwerk Brugse Ommeland;C7;OUT;3,333909;51,290351
367798,96348776;6636308,72099498;6070;18;125;Fietsnetwerk Brugse Ommeland;C8;OUT;3,303994;51,272645
367589,69800149;6636993,22797079;6071;19;125;Fietsnetwerk Brugse Ommeland;C9;OUT;3,302114;51,276502
347941,86461273;6624920,36073862;6072;57;125;Fietsnetwerk Brugse Ommeland;DA;OUT;3,125615;51,208428
349349,81480305;6623727,78319450;6073;67;125;Fietsnetwerk Brugse Ommeland;DB;OUT;3,138263;51,201699
349797,30382968;6621462,08439978;6074;68;125;Fietsnetwerk Brugse Ommeland;DC;OUT;3,142283;51,188910
351733,57741610;6618220,86529835;6075;71;125;Fietsnetwerk Brugse Ommeland;DD;OUT;3,159676;51,170609
351547,71703827;6618020,74967013;6076;72;125;Fietsnetwerk Brugse Ommeland;DE;OUT;3,158007;51,169479
353615,53223931;6615770,97381209;6077;96;125;Fietsnetwerk Brugse Ommeland;DF;OUT;3,176582;51,156772
354779,23017041;6615907,60587485;6078;97;125;Fietsnetwerk Brugse Ommeland;DG;OUT;3,187036;51,157544
354950,48734205;6617518,84074502;6080;99;125;Fietsnetwerk Brugse Ommeland;DI;OUT;3,188574;51,166645
354501,73793979;6620853,13429837;6079;70;125;Fietsnetwerk Brugse Ommeland;DH;OUT;3,184543;51,185472
354976,11455031;6621433,02744597;6081;69;125;Fietsnetwerk Brugse Ommeland;DJ;OUT;3,188805;51,188746
353156,77302334;6625044,06683376;6082;26;125;Fietsnetwerk Brugse Ommeland;DK;OUT;3,172461;51,209126
353363,44834888;6626377,40408587;6083;65;125;Fietsnetwerk Brugse Ommeland;DL;OUT;3,174318;51,216649
359958,11984798;6627107,73210970;6089;3;125;Fietsnetwerk Brugse Ommeland;DR;OUT;3,233559;51,220770
359880,38013135;6627186,02992292;6090;2;125;Fietsnetwerk Brugse Ommeland;DS;OUT;3,232860;51,221211
358625,14655505;6627269,65985816;6091;1;125;Fietsnetwerk Brugse Ommeland;DT;OUT;3,221585;51,221683
357679,69492415;6624279,25653141;6086;7;125;Fietsnetwerk Brugse Ommeland;DO;OUT;3,213091;51,204811
357948,55751384;6623512,75441054;6087;6;125;Fietsnetwerk Brugse Ommeland;DP;OUT;3,215507;51,200485
359493,75069475;6623391,10047982;6088;5;125;Fietsnetwerk Brugse Ommeland;DQ;OUT;3,229387;51,199798
356485,50073788;6626446,07308059;6085;4;125;Fietsnetwerk Brugse Ommeland;DN;OUT;3,202364;51,217037
356285,48275584;6626424,44883142;6084;63;125;Fietsnetwerk Brugse Ommeland;DM;OUT;3,200567;51,216915
365597,40878719;6631798,33069521;6093;15;125;Fietsnetwerk Brugse Ommeland;DV;OUT;3,284217;51,247223
362299,01392431;6627574,89031430;6092;8;125;Fietsnetwerk Brugse Ommeland;DU;OUT;3,254587;51,223405
369504,23390423;6632583,65336548;6095;60;125;Fietsnetwerk Brugse Ommeland;DX;OUT;3,319313;51,251650
365206,47940407;6632629,47132983;6094;14;125;Fietsnetwerk Brugse Ommeland;DW;OUT;3,280706;51,251908
372248,45674902;6632122,31443914;6096;64;125;Fietsnetwerk Brugse Ommeland;DY;OUT;3,343965;51,249049
369737,29541993;6630570,26579851;6097;62;125;Fietsnetwerk Brugse Ommeland;DZ;OUT;3,321407;51,240298
367635,10340726;6629526,99521400;6098;61;125;Fietsnetwerk Brugse Ommeland;D0;OUT;3,302522;51,234415
363062,54251620;6626689,16073657;6099;9;125;Fietsnetwerk Brugse Ommeland;D1;OUT;3,261446;51,218408
340872,54822181;6601795,20643991;6100;85;125;Fietsnetwerk Brugse Ommeland;D2;OUT;3,062110;51,077753
340690,92964478;6600424,69878014;6101;1;125;Fietsnetwerk Brugse Ommeland;D3;OUT;3,060479;51,069997
338576,12506546;6592690,74208633;6107;43;127;Fietsnetwerk Westhoek;D8;DEL;3,041481;51,026204
337404,29289720;6594820,33216831;6106;36;127;Fietsnetwerk Westhoek;D7;NEW;3,030954;51,038267
337155,90495559;6595119,82130175;6105;35;127;Fietsnetwerk Westhoek;D6;FIX;3,028723;51,039963
335023,01130208;6600083,81214479;6104;33;127;Fietsnetwerk Westhoek;D5;FIX;3,009563;51,068068
342237,44538432;6603155,49557636;6108;86;125;Fietsnetwerk Brugse Ommeland;D9;OUT;3,074371;51,085450
347215,83513127;6611743,99878638;6111;78;125;Fietsnetwerk Brugse Ommeland;EC;OUT;3,119093;51,134017
346221,26385153;6606748,36997178;6110;82;125;Fietsnetwerk Brugse Ommeland;EB;OUT;3,110159;51,105774
342169,75800678;6603388,63341928;6109;84;125;Fietsnetwerk Brugse Ommeland;EA;OUT;3,073763;51,086769
296929,72530704;6600163,00614060;6156;4;127;Fietsnetwerk Westhoek;FI;FIX;2,667365;51,068516
296599,22524303;6600085,78103041;6155;3;127;Fietsnetwerk Westhoek;FH;FIX;2,664396;51,068079
347657,46527571;6613901,08062785;6112;77;125;Fietsnetwerk Brugse Ommeland;ED;OUT;3,123060;51,146207
348983,47507105;6613994,31855113;6113;76;125;Fietsnetwerk Brugse Ommeland;EE;OUT;3,134972;51,146734
354210,20084323;6611265,53572121;6114;94;125;Fietsnetwerk Brugse Ommeland;EF;OUT;3,181924;51,131313
353009,03485200;6607421,43529988;6115;91;125;Fietsnetwerk Brugse Ommeland;EG;OUT;3,171134;51,109580
350336,64744838;6603868,12674496;6116;88;125;Fietsnetwerk Brugse Ommeland;EH;OUT;3,147128;51,089482
350289,31482056;6600946,61046978;6117;8;125;Fietsnetwerk Brugse Ommeland;EI;OUT;3,146702;51,072951
345250,86689797;6599551,18001136;6123;2;125;Fietsnetwerk Brugse Ommeland;EN;OUT;3,101441;51,065053
351072,11509864;6602912,59294593;6118;89;125;Fietsnetwerk Brugse Ommeland;EJ;OUT;3,153734;51,084076
360133,25052259;6620038,13703402;6126;69;125;Fietsnetwerk Brugse Ommeland;EQ;OUT;3,235132;51,180871
362919,60612177;6616262,09803455;6128;71;125;Fietsnetwerk Brugse Ommeland;ER;OUT;3,260162;51,159546
357719,62003182;6613277,15185454;6133;83;125;Fietsnetwerk Brugse Ommeland;EW;OUT;3,213450;51,142682
360116,96813241;6611035,67014872;6132;84;125;Fietsnetwerk Brugse Ommeland;EV;OUT;3,234986;51,130014
363219,35665447;6610355,56645606;6130;86;125;Fietsnetwerk Brugse Ommeland;ET;OUT;3,262855;51,126169
360670,28932496;6608507,01509952;6131;85;125;Fietsnetwerk Brugse Ommeland;EU;OUT;3,239956;51,115719
365845,08480585;6625494,37778995;6152;68;125;Fietsnetwerk Brugse Ommeland;FE;OUT;3,286442;51,211667
363180,82407758;6621881,18081132;6134;70;125;Fietsnetwerk Brugse Ommeland;EX;OUT;3,262509;51,191276
364435,17219269;6621154,61720308;6135;73;125;Fietsnetwerk Brugse Ommeland;EY;OUT;3,273777;51,187174
364405,90307906;6619747,83042734;6139;72;125;Fietsnetwerk Brugse Ommeland;E2;OUT;3,273514;51,179232
366710,33437353;6613267,90041647;6129;87;125;Fietsnetwerk Brugse Ommeland;ES;OUT;3,294215;51,142629
367355,46601771;6614894,19858151;6138;89;125;Fietsnetwerk Brugse Ommeland;E1;OUT;3,300010;51,151819
370213,33490585;6619431,28681689;6136;81;125;Fietsnetwerk Brugse Ommeland;EZ;OUT;3,325683;51,177445
371193,95757666;6616069,00953800;6137;90;125;Fietsnetwerk Brugse Ommeland;E0;OUT;3,334492;51,158455
370566,39071768;6627732,65928962;6151;67;125;Fietsnetwerk Brugse Ommeland;FD;OUT;3,328855;51,224295
374843,47871195;6629221,34868498;6150;66;125;Fietsnetwerk Brugse Ommeland;FC;OUT;3,367276;51,232691
376576,26186364;6625926,00530660;6147;2;125;Fietsnetwerk Brugse Ommeland;E9;OUT;3,382842;51,214103
376112,63935900;6627844,23559534;6148;1;125;Fietsnetwerk Brugse Ommeland;FA;OUT;3,378677;51,224924
374565,87009574;6624337,57101817;6145;78;125;Fietsnetwerk Brugse Ommeland;E8;OUT;3,364782;51,205140
374645,97456535;6622836,81979713;6144;77;125;Fietsnetwerk Brugse Ommeland;E7;OUT;3,365502;51,196670
374156,17661024;6620907,17256668;6143;82;125;Fietsnetwerk Brugse Ommeland;E6;OUT;3,361102;51,185777
370198,79929005;6621290,19412362;6142;80;125;Fietsnetwerk Brugse Ommeland;E5;OUT;3,325552;51,187940
367848,61625034;6624194,24244910;6141;76;125;Fietsnetwerk Brugse Ommeland;E4;OUT;3,304440;51,204331
366614,23329323;6623784,92966160;6140;75;125;Fietsnetwerk Brugse Ommeland;E3;OUT;3,293352;51,202021
378275,42654669;6631003,57528407;6149;65;125;Fietsnetwerk Brugse Ommeland;FB;OUT;3,398106;51,242742
377091,95348696;6613517,29141374;6158;95;125;Fietsnetwerk Brugse Ommeland;FK;OUT;3,387475;51,144039
378556,63804292;6617522,34977864;6159;86;125;Fietsnetwerk Brugse Ommeland;FL;OUT;3,400632;51,166664
374101,46233522;6613496,67244036;6157;94;125;Fietsnetwerk Brugse Ommeland;FJ;OUT;3,360611;51,143922
370733,06764174;6612651,82986890;6160;91;125;Fietsnetwerk Brugse Ommeland;FM;OUT;3,330352;51,139148
370981,63438225;6612127,55315490;6161;88;125;Fietsnetwerk Brugse Ommeland;FN;OUT;3,332585;51,136185
371724,56053153;6611396,18764132;6162;99;125;Fietsnetwerk Brugse Ommeland;FO;OUT;3,339259;51,132052
374967,05863599;6610613,34765292;6163;96;125;Fietsnetwerk Brugse Ommeland;FP;OUT;3,368386;51,127627
375615,48810852;6610278,37796785;6164;93;125;Fietsnetwerk Brugse Ommeland;FQ;OUT;3,374211;51,125733
354763,43445218;6607314,08863256;6165;92;125;Fietsnetwerk Brugse Ommeland;FR;OUT;3,186894;51,108973
351917,60585972;6603113,70890790;6166;90;125;Fietsnetwerk Brugse Ommeland;FS;OUT;3,161330;51,085214
353903,31312676;6599214,59085377;6167;9;125;Fietsnetwerk Brugse Ommeland;FT;OUT;3,179168;51,063148
357695,28607740;6598252,96947685;6168;20;125;Fietsnetwerk Brugse Ommeland;FU;OUT;3,213231;51,057704
353252,27874093;6597727,57277454;6169;12;125;Fietsnetwerk Brugse Ommeland;FV;OUT;3,173319;51,054730
353416,54514608;6597280,48014703;6170;13;125;Fietsnetwerk Brugse Ommeland;FW;OUT;3,174795;51,052198
363564,57489805;6603221,82978154;6171;22;125;Fietsnetwerk Brugse Ommeland;FX;OUT;3,265956;51,085826
363270,27851607;6604892,04423248;6172;11;125;Fietsnetwerk Brugse Ommeland;FY;OUT;3,263312;51,095275
