XCoord;YCoord;NETWERKID;PID;STATUS;STARTCODE;ENDCODE
341170,11125393;6591250,67856631;0; ;NEW;VU;VT
339287,25391815;6597540,92562536;0; ;MIS;D3;D7
335369,37702800;6600856,07426059;0; ;NEW;D4;VZ
334621,73140245;6601998,96480161;0; ;NEW;VZ;BM
337152,24061956;6601690,96513397;0; ;NEW;D4;V0
339527,89034590;6601892,04272136;0; ;NEW;V0;D2
337389,17175955;6603612,34845488;0; ;NEW;V1;V0
335645,68299776;6604574,97131239;0; ;NEW;V1;V2
334908,77696031;6604622,19828769;0; ;NEW;V2;V3
333605,17028338;6604233,04635714;0; ;NEW;V3;V4
334836,00434866;6603504,12220213;0; ;NEW;BM;V2
333270,55004449;6603220,33081296;0; ;NEW;BM;V4
332159,96192295;6603931,88081127;0; ;NEW;V4;V5
331341,75943846;6603778,49055175;0; ;NEW;V5;BL
331507,46612984;6602007,07873668;0; ;NEW;V5;V6
333471,24294073;6600658,04271712;0; ;NEW;V6;VZ
329614,37828303;6600347,67679009;0; ;NEW;V7;V6
329413,89306573;6602794,65705078;0; ;NEW;V7;BL
326818,61393891;6601451,56169818;0; ;NEW;V7;I8
331849,51661510;6598884,44327551;0; ;NEW;V6;V8
328949,70846370;6597113,88628021;0; ;NEW;V8;NT
331424,13275870;6595668,61672422;0; ;NEW;NR;V9
333380,66583839;6597728,15462192;0; ;NEW;V9;WA
334216,36313400;6598954,63960618;0; ;NEW;WA;D5
332630,81459791;6597760,02678097;0; ;NEW;V8;V9
332967,38707239;6596118,76877948;0; ;NEW;WA;VX
327643,64056233;6604409,96561994;0; ;NEW;V7;WB
329625,87523488;6605550,42260136;0; ;NEW;BL;WB
327964,13033444;6607425,30044782;0; ;NEW;WB;BK
330476,66654810;6609718,22059398;0; ;NEW;WC;WD
328494,66278951;6608462,72939467;0; ;NEW;BK;WC
327555,98110304;6610780,86488947;0; ;NEW;BJ;WC
332037,62010505;6611279,32702070;0; ;NEW;WD;BH
332154,52369491;6609671,07334293;0; ;NEW;WD;WE
334113,90488828;6609491,99307878;0; ;NEW;WE;WF
332709,06210114;6606777,57517428;0; ;NEW;WE;V3
342389,69888249;6594209,54007397;0; ;NEW;VT;SC
345355,01290152;6588985,33422170;0; ;NEW;GN;WG
344880,76073828;6592382,95539409;0; ;NEW;GF;WG
343229,90906996;6590198,48841849;0; ;NEW;VU;WG
342067,41712254;6585152,84109570;0; ;NEW;KN;WH
342131,49815135;6587204,10765376;0; ;NEW;VV;WH
344766,68884716;6587244,27838652;0; ;NEW;GN;WO
346164,04839129;6587440,85944434;0; ;NEW;WO;GM
345678,07062319;6586227,06524142;0; ;NEW;WO;WK
347012,11818801;6585206,97189775;0; ;NEW;WK;WL
348299,10065927;6585970,99351531;0; ;NEW;WL;GM
348380,45734864;6584523,35488679;0; ;NEW;WL;WP
345968,21418155;6584227,82685452;0; ;NEW;WK;WJ
344221,37556728;6582834,64372105;0; ;NEW;WI;WM
343100,06265609;6584489,29561169;0; ;NEW;WH;WI
344595,70537236;6584218,32795167;0; ;NEW;WI;WJ
344583,19864859;6585815,87590667;0; ;NEW;GN;WJ
342740,17026596;6582903,47611925;0; ;NEW;KN;WM
344331,13095699;6580787,44046810;0; ;NEW;WM;KQ
341402,65042323;6577270,38694378;0; ;NEW;SB;WQ
343222,56961346;6578676,10397737;0; ;NEW;WQ;KQ
342394,97700738;6576073,36916416;0; ;NEW;WQ;WR
333994,14412541;6582329,08318611;0; ;NEW;ON;VY
330911,89517650;6577407,78530852;0; ;NEW;OM;WS
333872,46237805;6576492,24745167;0; ;NEW;WS;N0
324125,72085500;6577328,49845710;0; ;NEW;QW;WT
325789,57256370;6576166,85421227;0; ;NEW;WT;OL
324244,08728833;6575306,98449164;0; ;NEW;WT;OQ
325522,96619105;6571452,34666356;0; ;NEW;OP;WW
329667,55159116;6572803,20412959;0; ;NEW;OR;WU
331226,20502930;6571501,47747464;0; ;NEW;WU;UN
332695,73189241;6569745,24386319;0; ;NEW;UN;LI
327151,39548271;6570036,17076171;0; ;NEW;WW;WV
329067,52989750;6571172,09909003;0; ;NEW;WV;WU
330696,92189600;6569018,30647590;0; ;NEW;WV;WX
329221,38492350;6567646,58199848;0; ;NEW;WW;WX
333423,11972455;6567613,82417703;0; ;NEW;WX;OO
324607,81863430;6569093,25075968;0; ;NEW;WY;WW
323185,01447320;6567752,82178639;0; ;NEW;R2;WY
323228,96166008;6569873,32389553;0; ;NEW;QX;WY
332943,98183005;6565165,21143545;0; ;NEW;OO;WZ
332459,71113194;6562686,27651553;0; ;NEW;W0;WZ
334204,54784210;6562727,65507796;0; ;NEW;WZ;PK
329502,42695545;6562606,31158806;0; ;NEW;PQ;W0
327912,94959510;6559235,97421825;0; ;NEW;PP;W1
328805,34915907;6558125,16500076;0; ;NEW;W1;PO
330592,32683999;6558701,71695190;0; ;NEW;PO;W2
333243,59780428;6561475,34497626;0; ;NEW;6S;PK
334772,67066588;6559862,93912601;0; ;NEW;W2;MX
340861,17654622;6561536,52578622;0; ;NEW;W3;MW
338886,84810247;6562764,58131227;0; ;NEW;MX;W3
341335,16467458;6562908,35930040;0; ;NEW;W3;W4
340471,42696762;6564470,37479145;0; ;NEW;W4;W5
336344,58471337;6566050,59337012;0; ;NEW;LH;W5
337116,08751808;6569225,36465645;0; ;NEW;LH;W6
338046,33242400;6570958,70368747;0; ;NEW;LD;W6
341064,26898490;6573686,81435639;0; ;NEW;WR;W8
340589,76475113;6571596,72670019;0; ;NEW;W6;W8
