XCoord;YCoord;FID;NETWERKID;PID;STATUS;STARTCODE;ENDCODE
368888,10075325;6581146,92045185;1179;0; ;NEW;KM;1D
366899,45398391;6579396,62280834;1180;0; ;NEW;1D;1E
362597,23001180;6577520,30987500;1181;0; ;NEW;0Y;1E
362197,18831679;6573505,88556251;1182;0; ;NEW;LS;LR
364619,38512577;6570086,51863801;1183;0; ;NEW;L6;LQ
364063,93743881;6572982,33721014;1184;0; ;NEW;LR;LV
365670,95402251;6572902,85446885;1185;0; ;NEW;LV;K4
365859,03338320;6576649,36069228;1186;0; ;NEW;1E;K5
370725,23906264;6573695,98209204;1187;0; ;NEW;L7;6P
384272,01739321;6578115,46392208;1188;0; ;MIS;TY;TZ
384885,14014693;6579024,93560856;1189;0; ;NEW;TZ;TE
371113,66263953;6570977,55073963;1190;0; ;NEW;LX;MB
369887,38203350;6570372,16936797;1191;0; ;NEW;1G;6P
371793,13499647;6568777,19012958;1192;0; ;NEW;1G;LZ
370176,96997866;6567386,33569089;1193;0; ;NEW;1G;L0
370826,95136471;6566999,13334549;1194;0; ;NEW;LZ;L2
332683,02313200;6573936,76401414;1195;0; ;NEW;WS;UN
380662,76113585;6589487,13253051;1196;0; ;NEW;KG;04
384314,83082497;6566499,18543662;1197;0; ;NEW;1F;1I
384457,77977713;6567792,50301254;1198;0; ;NEW;1F;ML
382255,11338888;6567948,85193154;1199;0; ;NEW;1F;MM
385278,31509130;6567110,81858793;1200;0; ;NEW;1I;ML
385856,89404646;6565897,93476514;1201;0; ;NEW;1I;TJ
372301,11054499;6569270,06085574;1202;0; ;NEW;MB;LZ
372933,97483237;6567334,98199821;1203;0; ;NEW;MG;1J
390288,31770502;6559368,67526248;1204;0; ;NEW;OB;TO
390112,20174912;6554729,81075937;1205;0; ;NEW;OF;1M
386712,70827859;6554415,01767309;1206;0; ;NEW;OE;1K
386920,05124541;6552955,68995525;1207;0; ;NEW;1K;1L
388792,45443628;6553243,65290802;1208;0; ;NEW;1L;1M
390999,88190284;6553071,39699334;1209;0; ;NEW;1M;OG
387790,12632929;6551701,40727718;1210;0; ;NEW;1L;OK
385739,77221005;6552640,74600756;1211;0; ;NEW;1K;1N
386431,65846396;6548430,07408481;1212;0; ;NEW;TW;OJ
385210,75230527;6546946,86591771;1213;0; ;NEW;1O;PH
385833,83436220;6547880,26581461;1214;0; ;NEW;OI;1O
385173,57746855;6547812,24348717;1215;0; ;NEW;1P;OI
