XCoord;YCoord;FID;KNOOPID;VOLGNR;NETWERKID;CODE;STATUS;LON_X;LAT_Y
297658,33917442;6603532,18022364;168;6124;5;127;EO;FIX;2,673910;51,087582
293679,55967717;6608588,79731474;169;6125;65;127;EP;FIX;2,638168;51,116181
298409,07618536;6608965,76324429;170;6154;66;127;FG;FIX;2,680654;51,118312
367576,93780769;6606852,61975527;171;6178;28;125;F4;IN;3,302000;51,106363
368974,47060066;6607203,69493977;172;6179;29;125;F5;IN;3,314554;51,108349
369620,30736485;6608568,12589336;173;6180;30;125;F6;IN;3,320356;51,116064
369892,89919164;6604989,79516031;174;6184;31;125;GA;IN;3,322804;51,095827
367768,17631540;6605621,10208614;175;6185;32;125;GB;IN;3,303718;51,099398
370678,19696603;6601111,17022802;176;6186;35;125;GC;IN;3,329859;51,073882
367714,13602622;6599676,82189195;177;6187;34;125;GD;IN;3,303232;51,065764
364963,75699057;6598231,26540788;178;6188;25;125;GE;IN;3,278525;51,057581
346892,50012164;6594633,85546621;179;6190;5;125;GG;IN;3,116188;51,037211
349585,71109728;6592935,02984220;180;6191;14;125;GH;IN;3,140382;51,027588
356775,05452836;6589451,66333332;181;6193;19;125;GJ;IN;3,204965;51,007851
355048,59012258;6586708,99781680;182;6194;18;125;GK;IN;3,189456;50,992304
350729,36066147;6587386,34386763;183;6195;16;125;GL;IN;3,150655;50,996144
349755,02927246;6592967,79191793;184;6192;15;125;GI;IN;3,141903;51,027774
361318,46052101;6592572,12328261;185;6198;23;125;GO;IN;3,245779;51,025532
363927,07948015;6589720,65350154;186;6200;36;125;GQ;IN;3,269213;51,009375
365210,08450264;6586321,92219061;187;6199;24;125;GP;IN;3,280738;50,990110
365784,09447126;6584501,95725145;188;6201;53;125;GR;IN;3,285894;50,979790
304253,15754352;6613925,39761110;189;6204;82;127;GU;FIX;2,733153;51,146345
370216,96661520;6598772,58733118;190;6205;41;125;GV;IN;3,325716;51,060646
369651,44395175;6595077,96153534;191;6206;42;125;GW;IN;3,320635;51,039726
368523,52301508;6590545,63659245;192;6207;37;125;GX;IN;3,310503;51,014050
371021,23527048;6599834,51708431;193;6208;40;125;GY;IN;3,332940;51,066657
375631,04315266;6593817,75539780;194;6209;44;125;GZ;IN;3,374351;51,032588
305153,29310549;6612571,52540591;195;6212;67;127;G2;FIX;2,741239;51,138694
306615,30330208;6610170,83605736;196;6213;7;127;G3;FIX;2,754372;51,125125
306846,84373876;6611592,83692945;197;6214;8;127;G4;FIX;2,756452;51,133163
307080,64935513;6611812,40194084;198;6215;9;127;G5;IN;2,758552;51,134404
309764,52991112;6614780,86617768;199;6216;12;127;G6;FIX;2,782662;51,151178
307722,71390352;6616752,66097858;200;6217;81;127;G7;FIX;2,764320;51,162317
311846,09407921;6610494,62254320;201;6218;10;127;G8;FIX;2,801361;51,126955
314296,75259309;6605635,01855821;202;6219;23;127;G9;FIX;2,823376;51,099477
309889,22039843;6604249,09848022;203;6220;22;127;HA;FIX;2,783782;51,091637
305106,66455060;6604040,20487067;204;6221;21;127;HB;FIX;2,740820;51,090456
304360,87336226;6603764,09392456;205;6222;20;127;HC;FIX;2,734120;51,088894
300508,39145484;6606661,65050173;206;6153;6;127;FF;FIX;2,699513;51,105283
316754,94745490;6610768,31779332;207;6232;54;127;HM;FIX;2,845458;51,128503
317860,44678668;6611405,26467391;208;6231;21;127;HL;FIX;2,855389;51,132103
315916,29164271;6613724,17721241;209;6230;50;127;HK;FIX;2,837924;51,145208
312054,42545258;6614338,04990741;210;6223;11;127;HD;FIX;2,803233;51,148676
311864,56094573;6615508,26102698;211;6224;13;127;HE;FIX;2,801527;51,155288
319748,05969885;6618364,66727251;212;6229;19;127;HJ;FIX;2,872346;51,171421
313602,63815243;6621492,43988098;213;6226;80;127;HG;FIX;2,817140;51,189081
293140,61861003;6590704,31593817;214;6243;25;127;HW;FIX;2,633327;51,014949
289936,22733593;6590100,06227151;215;6244;24;127;HX;FIX;2,604541;51,011525
294348,69453491;6589342,01026550;216;6242;26;127;HV;FIX;2,644179;51,007229
295703,22081900;6590891,85178829;217;6241;27;127;HU;FIX;2,656347;51,016012
299600,10087197;6593044,49052321;218;6240;28;127;HT;FIX;2,691353;51,028208
301164,93378111;6593916,89796006;219;6239;29;127;HS;FIX;2,705411;51,033150
298424,72634419;6597386,64630261;220;6238;14;127;HR;FIX;2,680795;51,052799
295329,44917614;6595037,47706685;221;6237;13;127;HQ;FIX;2,652990;51,039497
294988,36382955;6595357,06413446;222;6236;12;127;HP;FIX;2,649926;51,041307
294176,79226773;6596371,68610295;223;6234;10;127;HO;FIX;2,642635;51,047052
303054,73274704;6596612,26504376;224;6245;15;127;HY;FIX;2,722387;51,048415
299365,30964022;6598201,46543837;225;6246;72;127;HZ;FIX;2,689244;51,057413
302382,55978748;6599934,14219258;226;6247;73;127;H0;FIX;2,716349;51,067221
302081,69732614;6601040,75527084;227;6248;19;127;H1;FIX;2,713646;51,073484
304970,69725625;6599655,73605574;228;6249;18;127;H2;FIX;2,739598;51,065645
305153,93651180;6597385,16333017;229;6250;17;127;H3;FIX;2,741244;51,052791
306027,84488559;6596726,25813934;230;6251;33;127;H4;FIX;2,749095;51,049060
304529,49441717;6595138,95256189;231;6252;32;127;H5;FIX;2,735635;51,040071
303348,23219923;6595891,07021390;232;6257;16;127;IA;FIX;2,725024;51,044331
304532,43095603;6593499,33696180;233;6253;31;127;H6;FIX;2,735661;51,030785
302837,20339343;6591671,75969835;234;6254;30;127;H7;FIX;2,720433;51,020431
303670,03761496;6590794,52566644;235;6255;44;127;H8;FIX;2,727914;51,015460
301354,74788358;6590278,36544712;236;6256;43;127;H9;FIX;2,707116;51,012536
316413,53741325;6596287,91873675;237;6259;2;127;IB;FIX;2,842391;51,046578
316647,33548965;6593862,12490294;238;6263;48;127;IF;FIX;2,844491;51,032840
317736,04578695;6593420,21875247;239;6262;49;127;IE;FIX;2,854271;51,030336
317841,55688370;6593948,97379364;240;6261;75;127;ID;FIX;2,855219;51,033332
317738,03096252;6593969,45340200;241;6260;74;127;IC;FIX;2,854289;51,033448
