XCoord;YCoord;NETWERKID;NETWERK;PID;STATUS;STARTCODE;ENDCODE
367791,96503895;6562277,38063038;126;Fietsnetwerk Leiestreek;6400-6464;FIX;L3;NU
369015,49188103;6562121,78164319;126;Fietsnetwerk Leiestreek;6463-6464;FIX;NU;NT
368972,32240967;6560263,04100593;126;Fietsnetwerk Leiestreek;6463-6465;FIX;NT;NV
369469,58052028;6559324,29937957;126;Fietsnetwerk Leiestreek;6465-6466;FIX;NV;NW
354190,38126135;6554323,97869914;126;Fietsnetwerk Leiestreek;6445-6445;NIV;#N/A;NB
351991,16576669;6557011,00637627;126;Fietsnetwerk Leiestreek;6444-6445;FIX;NB;NA
352651,53796930;6558263,96590952;126;Fietsnetwerk Leiestreek;6433-6444;FIX;NA;MZ
354108,26845764;6559578,99751528;126;Fietsnetwerk Leiestreek;6432-6433;FIX;MZ;MY
356471,41092928;6561038,70313259;126;Fietsnetwerk Leiestreek;6431-6432;FIX;MY;MX
351995,93775566;6565228,54528877;126;Fietsnetwerk Leiestreek;6382-6431;FIX;MX;LL
348102,90646641;6568619,26394646;126;Fietsnetwerk Leiestreek;6382-6383;FIX;LL;LM
347814,26143854;6563957,44730956;126;Fietsnetwerk Leiestreek;6383-6434;FIX;LM;M0
347769,77939594;6558035,94957182;126;Fietsnetwerk Leiestreek;6434-6443;FIX;M0;N9
347464,06791837;6556566,79404443;126;Fietsnetwerk Leiestreek;6441-6443;FIX;N9;M7
346067,01454539;6557740,42508186;126;Fietsnetwerk Leiestreek;6441-6442;FIX;M7;M8
345252,40776663;6560737,89532725;126;Fietsnetwerk Leiestreek;6428-6442;FIX;M8;MU
342665,92944990;6560640,59185245;126;Fietsnetwerk Leiestreek;6428-6429;FIX;MU;MV
355053,33121078;6553042,24068774;126;Fietsnetwerk Leiestreek;6502-6502;NIV;#N/A;OX
353839,14363175;6552565,94905722;126;Fietsnetwerk Leiestreek;6500-6502;FIX;OX;OV
349700,60838585;6551713,40586745;126;Fietsnetwerk Leiestreek;6447-6500;FIX;OV;ND
345532,54079311;6550383,06878841;126;Fietsnetwerk Leiestreek;6447-6448;FIX;ND;NE
341124,30630619;6548959,31330607;126;Fietsnetwerk Leiestreek;6448-6449;FIX;NE;NF
374413,48716413;6542702,42456262;126;Fietsnetwerk Leiestreek;6536-6537;FIX;PU;PT
377162,08726570;6544728,95787759;126;Fietsnetwerk Leiestreek;6537-6543;FIX;PU;P0
379223,46147240;6544883,12504560;126;Fietsnetwerk Leiestreek;6541-6543;FIX;P0;PY
380854,40616258;6543662,30263771;126;Fietsnetwerk Leiestreek;6540-6541;FIX;PY;PX
381386,57389415;6545701,77157347;126;Fietsnetwerk Leiestreek;6539-6540;FIX;PX;PW
381485,05177199;6547760,15771446;126;Fietsnetwerk Leiestreek;6529-6539;FIX;PW;PM
379197,03237687;6548854,18601816;126;Fietsnetwerk Leiestreek;6529-6534;FIX;PM;PR
363604,98935480;6558316,60075963;126;Fietsnetwerk Leiestreek;6452-6452;NIV;#N/A;NI
370096,59648239;6571638,99323570;126;Fietsnetwerk Leiestreek;6393-6393;NIV;#N/A;LW
367880,60021369;6572127,13065709;126;Fietsnetwerk Leiestreek;6392-6393;FIX;LW;LV
366663,10354873;6570880,23179697;126;Fietsnetwerk Leiestreek;6392-6402;FIX;LV;L5
364247,99979227;6569019,08708740;126;Fietsnetwerk Leiestreek;6386-6402;FIX;L5;LP
362191,82734703;6571521,42418897;126;Fietsnetwerk Leiestreek;6386-6388;FIX;LP;LR
361142,76214939;6574469,93576030;126;Fietsnetwerk Leiestreek;6385-6388;FIX;LR;LO
360445,59250172;6575943,04537319;126;Fietsnetwerk Leiestreek;6364-6385;FIX;LO;K5
359697,81297839;6577652,95191043;126;Fietsnetwerk Leiestreek;6364-6365;FIX;K5;K6
